TOTAL PROFILED TIME: 36188.2s
total calls: 12229475191

Thu Aug 27 23:29:06 2026    results/experiments/E1_k1_v31/k1_v31_final.prof
        1    0.001    0.001    0.034    0.034 step12_branch_price.py:5875(_finite_model_scope_signature)
       28    0.001    0.000    0.033    0.001 step12_branch_price.py:12938(<genexpr>)
       29    0.001    0.000    0.033    0.001 step12_branch_price.py:12966(<genexpr>)
     9852    0.024    0.000    0.033    0.000 step12_branch_price.py:6688(_remaining)
     1586    0.002    0.000    0.032    0.000 step12_branch_price.py:13296(_is_objective_improvement)
        1    0.000    0.000    0.030    0.030 step12_branch_price.py:1(<module>)
11803/731    0.013    0.000    0.029    0.000 step12_branch_price.py:5879(simple)
     3358    0.007    0.000    0.029    0.000 step12_branch_price.py:13272(_selection_tids)
     1820    0.005    0.000    0.027    0.000 step12_branch_price.py:13334(_deck_conflicts_for_add)
    58093    0.017    0.000    0.024    0.000 step12_branch_price.py:8537(<genexpr>)
    89053    0.020    0.000    0.020    0.000 step12_branch_price.py:8104(<genexpr>)
    38481    0.014    0.000    0.018    0.000 step12_branch_price.py:7712(<genexpr>)
     1611    0.002    0.000    0.017    0.000 step12_branch_price.py:13278(_coverage)
      576    0.005    0.000    0.016    0.000 step12_branch_price.py:9096(_safe_reach)
     6353    0.015    0.000    0.015    0.000 step12_branch_price.py:6796(_branch_consistent)
     9817    0.013    0.000    0.015    0.000 step12_branch_price.py:6401(closed)
    67697    0.011    0.000    0.011    0.000 step12_branch_price.py:9053(<genexpr>)
       28    0.000    0.000    0.011    0.000 step12_branch_price.py:13634(<lambda>)
       32    0.000    0.000    0.010    0.000 step12_branch_price.py:12973(<genexpr>)
       28    0.007    0.000    0.009    0.000 step12_branch_price.py:6822(_possible_resource_row_times)
        1    0.000    0.000    0.009    0.009 step12_branch_price.py:13163(_greedy_exact_resource_start)
    19650    0.006    0.000    0.008    0.000 step12_branch_price.py:5891(_key)
       20    0.000    0.000    0.007    0.000 step12_branch_price.py:13168(<lambda>)
     7262    0.003    0.000    0.003    0.000 step12_branch_price.py:9988(_queue_priority)
      127    0.000    0.000    0.002    0.000 step12_branch_price.py:14127(_deck_blockers)
        1    0.000    0.000    0.002    0.002 step12_branch_price.py:118(_formal_proof_code_sha256)
      507    0.001    0.000    0.002    0.000 step12_branch_price.py:14120(_deck_conflict)
      263    0.000    0.000    0.002    0.000 step12_branch_price.py:17455(<genexpr>)
     9671    0.002    0.000    0.002    0.000 step12_branch_price.py:8603(<genexpr>)
    10357    0.002    0.000    0.002    0.000 step12_branch_price.py:7721(<lambda>)
     9292    0.001    0.000    0.001    0.000 step12_branch_price.py:13392(<genexpr>)
     9671    0.001    0.000    0.001    0.000 step12_branch_price.py:8605(<genexpr>)
        1    0.000    0.000    0.001    0.001 step12_branch_price.py:13059(_materialize_chosen)
     9292    0.001    0.000    0.001    0.000 step12_branch_price.py:13324(<genexpr>)
     1834    0.001    0.000    0.001    0.000 step12_branch_price.py:13287(_time_or_budget_hit)
       26    0.000    0.000    0.001    0.000 step12_branch_price.py:9856(_energy_of_selection_exact)
       85    0.000    0.000    0.001    0.000 step12_branch_price.py:9834(_coverage_of_selection)
     3474    0.001    0.000    0.001    0.000 step12_branch_price.py:11074(_record_resource_rejection_diagnostic)
     3745    0.001    0.000    0.001    0.000 step12_branch_price.py:13367(<genexpr>)
     3745    0.000    0.000    0.001    0.000 step12_branch_price.py:13369(<genexpr>)
      390    0.000    0.000    0.001    0.000 step12_branch_price.py:9835(<genexpr>)
       29    0.000    0.000    0.000    0.000 step12_branch_price.py:9847(_fraction_to_float_up)
      525    0.000    0.000    0.000    0.000 step12_branch_price.py:7335(<genexpr>)
       40    0.000    0.000    0.000    0.000 step12_branch_price.py:7903(<genexpr>)
       40    0.000    0.000    0.000    0.000 step12_branch_price.py:13466(_packing_ok)
       34    0.000    0.000    0.000    0.000 step12_branch_price.py:13024(<genexpr>)
